"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000125378",17.0184061779416,12.9187097561422,10.4274476184866,16.6570003339015,95.8467129802984,107.065401443105,653.71560895211,795.234645965838
"ENSG00000125384",0,0,0,0.438342114050039,142.508928510181,78.5146277249436,149.250139030162,134.405855656198
"ENSG00000125386",1404.29300010241,1408.1393634195,1220.56018439548,1134.86773327555,571.296855000989,620.979328370008,522.375486605568,574.585032930247
"ENSG00000125388",152.616674757025,144.498160976109,125.678184454391,130.625949986912,107.196981622702,103.496554728335,140.295130688352,126.565514076253
"ENSG00000125398",370.562070003567,368.422463415906,110.860232575489,108.27050217036,4965.11196057151,5353.27007215525,3322.30809481141,3617.757614746
"ENSG00000125409",1.09796168889946,0,1.09762606510385,0,1.26114096026708,10.7065401443105,2.98500278060324,1.12004879713498
"ENSG00000125430",9.88165520009512,8.61247317076144,13.1715127812462,15.7803161058014,257.272755894485,189.148875882819,286.560266937911,303.533224023581
"ENSG00000125434",441.380598937582,366.987051220779,381.425057623587,401.959718583886,50.4456384106834,53.5327007215525,65.6700611732714,86.2437573793937
"ENSG00000125445",998.596156054057,1066.51126097929,1320.99296935248,1544.27926779829,1850.09378871181,1766.57912381123,2217.85706598821,2106.8117874109
"ENSG00000125447",1155.05569672223,1035.41066341821,819.926670632574,835.918411493425,1758.03049861232,1809.40528438847,1364.14627073568,1241.01406722556
