Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000007314,0,1,2,0,2,1,2,3
ENSG00000007341,878,995,1422,1535,554,183,226,588
ENSG00000007350,10,16,7,4,2,0,0,0
ENSG00000007372,0,2,0,3,280,81,123,301
ENSG00000007376,629,814,560,1019,554,196,371,877
ENSG00000007384,1628,1947,1040,1351,408,132,117,313
ENSG00000007392,3987,4511,2380,2720,115,31,35,117
ENSG00000007402,347,281,291,479,88,28,46,114
ENSG00000007516,281,293,220,269,77,33,42,76
ENSG00000007520,345,412,393,891,148,48,103,262
ENSG00000007541,760,791,492,850,163,71,85,244
ENSG00000007545,455,590,385,521,32,14,8,24
ENSG00000007866,1224,1400,754,1058,288,114,78,239
ENSG00000007908,0,4,2,2,0,0,0,0
ENSG00000007923,2565,2919,2517,3012,923,322,367,895
ENSG00000007933,6,6,4,3,2,1,3,3
ENSG00000007944,1015,1057,721,963,303,103,173,423
ENSG00000007952,36,34,52,42,9,0,5,10
ENSG00000007968,243,342,361,333,59,27,36,121
ENSG00000008018,5966,7852,9083,9263,2503,833,893,2185
ENSG00000008056,11,3,4,6,41,7,3,15
ENSG00000008083,1950,2309,1358,1691,339,126,137,315
ENSG00000008086,468,539,461,464,2229,750,491,1475
ENSG00000008118,2,2,1,4,14,7,6,20
ENSG00000008128,92,95,54,90,1,0,0,1
ENSG00000008130,1893,2181,1866,2050,168,70,102,293
ENSG00000008196,1,0,1,2,0,0,1,1
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,31,30,29,24,3,1,0,4
ENSG00000008256,1234,1477,2083,2225,155,47,74,222
ENSG00000008277,705,857,1149,1303,392,131,172,425
ENSG00000008282,5437,6652,6669,5933,2529,906,747,2089
ENSG00000008283,4165,5083,4768,5107,1568,548,824,2078
ENSG00000008294,2364,2610,2286,2463,1759,520,566,1628
ENSG00000008300,809,915,309,457,87,45,37,83
ENSG00000008311,1481,1724,2321,2536,1057,343,440,1377
ENSG00000008323,76,72,42,44,38,13,16,59
ENSG00000008324,370,448,354,470,85,31,38,102
ENSG00000008382,160,163,188,382,29,14,34,53
ENSG00000008394,8057,9361,16947,20690,5702,1945,1891,5800
ENSG00000008405,1120,1286,694,826,704,222,213,438
ENSG00000008438,0,2,6,3,2,2,3,3
ENSG00000008441,29315,32229,27349,38229,1576,522,543,1598
ENSG00000008513,32077,35057,27535,34998,3761,1273,968,2417
ENSG00000008516,42,29,26,29,8,7,5,21
ENSG00000008517,749,862,351,376,427,180,184,485
ENSG00000008710,2408,2295,1464,2263,202,90,108,272
ENSG00000008735,422,507,387,845,23,3,4,9
ENSG00000008838,2207,2764,1931,2720,515,175,272,583
ENSG00000008853,399,446,460,651,288,84,165,434
ENSG00000008869,1875,2195,2014,2303,794,285,324,788
ENSG00000008952,7837,8921,9378,11578,444,105,151,541
ENSG00000008988,8702,10443,10424,15819,2215,717,865,2097
ENSG00000009307,41323,46832,42576,47359,11834,3667,3714,10540
ENSG00000009335,5752,6796,5912,6545,3278,1052,1258,3042
ENSG00000009413,2009,2538,1504,1559,1044,338,471,1286
ENSG00000009694,1281,1424,468,559,18,9,1,16
ENSG00000009709,0,0,0,1,1,0,0,0
ENSG00000009724,216,232,182,218,73,22,33,98
ENSG00000009765,501,545,619,572,0,2,2,1
ENSG00000009780,546,569,604,684,267,81,111,320
ENSG00000009790,18,22,7,16,7,3,1,5
ENSG00000009830,1359,1633,971,1137,203,69,87,230
ENSG00000009844,4157,4725,4302,4550,2411,857,862,2552
ENSG00000009950,270,239,268,332,32,14,25,61
ENSG00000009954,10078,11627,9113,9988,519,159,261,679
ENSG00000010017,3848,4008,2747,2904,682,224,240,737
ENSG00000010030,4,11,24,40,7,0,1,3
ENSG00000010072,695,873,779,863,313,105,129,403
ENSG00000010165,887,1141,1418,1897,824,283,497,1210
ENSG00000010219,877,1026,807,1030,331,101,167,463
ENSG00000010244,7330,8596,7972,9302,3514,1302,1351,3777
ENSG00000010256,3155,3586,2879,4982,2028,671,918,2208
ENSG00000010270,1660,1833,1863,2236,885,310,334,880
ENSG00000010278,42479,41756,29716,45053,2572,785,628,1792
ENSG00000010282,2,4,1,3,0,0,0,0
ENSG00000010292,3546,4163,4192,4060,3597,1259,1405,3858
ENSG00000010295,15,16,13,3,26,8,5,11
ENSG00000010310,2,2,1,4,15,8,2,15
ENSG00000010318,375,360,417,493,100,41,51,157
ENSG00000010319,351,336,353,405,10,4,5,13
ENSG00000010322,4662,5032,4012,5528,708,256,333,889
ENSG00000010327,16,12,5,8,6,2,2,9
ENSG00000010361,225,233,122,220,51,5,21,58
ENSG00000010379,10,11,10,13,0,0,1,1
ENSG00000010404,330,162,232,145,165,56,70,170
ENSG00000010438,0,1,1,4,47,15,5,27
ENSG00000010539,468,575,522,499,100,44,46,132
ENSG00000010610,15,20,9,19,0,0,0,0
ENSG00000010626,456,519,604,672,87,38,47,100
ENSG00000010671,7,4,9,8,10,2,4,19
ENSG00000010704,140,200,225,195,7,0,2,1
ENSG00000010803,2328,2529,2497,3053,463,153,194,644
ENSG00000010810,253,265,91,179,313,106,114,301
ENSG00000010818,2958,3419,1789,1910,1950,623,407,1146
ENSG00000010932,27,34,33,48,4,3,2,4
ENSG00000011007,3026,3600,2612,3118,714,246,293,799
ENSG00000011009,978,1121,749,1130,234,88,142,320
ENSG00000011021,993,1272,737,847,181,64,66,220
ENSG00000011028,9,4,13,13,332,120,101,275
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,1,0,0
ENSG00000011105,756,862,862,1359,360,145,218,538
ENSG00000011114,2691,3086,2260,2346,506,170,177,477
ENSG00000011132,371,414,294,470,176,69,97,273
ENSG00000011143,702,843,666,799,241,105,159,403
ENSG00000011198,1563,1738,1601,1727,1800,640,457,1338
ENSG00000011201,3,1,5,3,4326,1489,1302,3697
ENSG00000011243,3651,4010,2187,2746,634,191,212,587
ENSG00000011258,1979,2198,1871,1998,1711,582,551,1507
ENSG00000011260,1125,1293,1292,1518,269,89,116,326
ENSG00000011275,1488,1801,1138,1445,1140,391,462,1236
ENSG00000011295,4800,5519,3431,3677,615,246,246,774
ENSG00000011304,6626,8023,7621,9062,2878,970,903,2542
ENSG00000011332,250,238,216,278,51,22,31,88
ENSG00000011347,3978,3956,2783,3727,115,46,37,151
ENSG00000011376,2282,2615,3405,4228,690,226,380,1010
ENSG00000011405,6029,6639,4510,4390,2091,574,690,1880
ENSG00000011422,69,85,38,52,2205,963,692,1723
ENSG00000011426,4575,5394,6302,6096,10629,3369,3488,10092
ENSG00000011451,5098,5646,2374,3355,654,236,287,702
ENSG00000011454,5564,6430,5573,6126,427,129,148,426
ENSG00000011465,2,0,0,0,0,0,0,0
ENSG00000011478,132,146,112,183,132,54,73,182
