"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175701",178.440068472507,-0.727882767109991,0.280739204542094,-2.59273644483399,0.009521570595393,0.0332157348690059
"ENSG00000164880",1688.90779259317,0.325938372303027,0.125719035262155,2.59259364839513,0.00952552437799675,0.0332211107296447
"ENSG00000146592",131.215093876552,0.697895256095756,0.269198816610064,2.59249005951858,0.00952839348827046,0.033222701934666
"ENSG00000204379",33.4156818711582,-4.81279546851843,1.85749095112096,-2.59101960395231,0.00956920401879961,0.0333565494012283
"ENSG00000075415",4373.91205840732,-0.306635965192469,0.118376119324057,-2.59035324813316,0.00958774909768829,0.0334109118047923
"ENSG00000149970",240.802655229905,0.566740168845962,0.218802011923463,2.59019633258313,0.00959212080958694,0.0334109118047923
"ENSG00000165502",7607.09686099907,-0.260702832251782,0.100650032137522,-2.59019124698909,0.00959226252541405,0.0334109118047923
"ENSG00000185269",14.0610911567291,2.05304001577774,0.792645643451641,2.5901107673255,0.00959450543076104,0.0334109118047923
"ENSG00000106077",456.826196822029,-0.45319064501204,0.174996058175666,-2.58971916131456,0.00960542585897023,0.0334404825922026
"ENSG00000122140",695.457073208705,-0.422694125743129,0.163237856773027,-2.58943687511692,0.00961330463804121,0.0334594518607658
"ENSG00000163785",1574.53542678848,0.336643085308426,0.13001468572713,2.58926969230968,0.00961797352781628,0.0334672422300992
"ENSG00000113387",5014.15141714066,-0.279535406152131,0.107965549310261,-2.58911669451919,0.00962224804619698,0.0334736567327151
"ENSG00000075275",799.050310533567,-0.37623377862616,0.145392133347377,-2.5877175742875,0.00966141590153707,0.0336014234777125
"ENSG00000126653",3430.0629696614,-0.321248218022626,0.124178104768187,-2.58699565935819,0.00968168117886818,0.0336634010484434
"ENSG00000070669",211.928203435961,-0.677579461124476,0.261966148334786,-2.58651533960238,0.00969518548672537,0.0337018452326992
"ENSG00000151224",40.2370444621459,-1.20558687651876,0.466194724662436,-2.58601569846528,0.00970925083430458,0.033742219772221
"ENSG00000106605",608.744468204562,-0.4200623033251,0.162556510394031,-2.58410015266004,0.00976334385411459,0.0339216456036598
"ENSG00000049541",814.625868295002,-0.357919248981554,0.138523077014126,-2.58382398584068,0.00977116463008706,0.0339402537315007
"ENSG00000165271",1205.22656647823,-0.334556102086754,0.129543904957043,-2.5825692239067,0.00980676862361515,0.0340553334624356
"ENSG00000128283",373.971515214423,0.499999595857364,0.193771744088762,2.58035348863004,0.00986992273929602,0.0342578956539124
"ENSG00000140463",919.601606763869,0.352338108646681,0.136546733151465,2.58034813806822,0.00987007568153609,0.0342578956539124
"ENSG00000170049",88.859643491255,0.808386881542312,0.313342706128783,2.57988096014613,0.00988343779474798,0.0342956287792049
"ENSG00000137496",223.466236781073,0.549849822825543,0.21314015210879,2.57975710998316,0.00988698282961663,0.0342992861126207
"ENSG00000102871",140.581016727039,-0.662182505191551,0.256696832505183,-2.57962865661064,0.0098906608215903,0.0343034027336214
"ENSG00000211452",72.5214635500519,-0.882658191985036,0.342208221658241,-2.57930153667242,0.00990003271799954,0.034327260260422
"ENSG00000109610",154.548123124157,-0.640171606021123,0.248219493926777,-2.57905451297862,0.0099071151211502,0.0343345250700018
"ENSG00000167118",1102.01177423132,-0.413809554231694,0.160448089309445,-2.5790868312156,0.00990618827012727,0.0343345250700018
"ENSG00000013016",388.408021322371,-0.495646293568646,0.192253038010294,-2.57809342675827,0.00993471333707103,0.0344215067785936
"ENSG00000133195",270.10785500444,-0.497149959168191,0.192910955326601,-2.57709552226575,0.00996344126697336,0.0345123579383538
